Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1068,Data Analytics Course,84,"4,036",234,23,10,0.119,"1,287",4/11/2024,Hydrabad,desktop,learn data analytics
A1069,Data Analytics Course,124,"4,942",241,18,3,0.024,"1,922",11/16/2024,Hydrabad,desktop,learn data analytics
A1070,Data Analytics Course,122,"4,989",215,12,5,0.041,"1,975",11/6/2024,Hydrabad,mobile,data analitics online
A1071,Data Analytics Course,180,"3,006",228,22,7,0.039,"1,556",11/4/2024,Hydrabad,tablet,learn data analytics
A1072,Data Analytics Course,133,3728,$199.13,11,10,,,11/9/2024,,Desktop,data analitics online
A1073,Data Analytics Course,164,"3,734",225,27,8,0.04,"1,728",12/11/2024,Hydrabad,tablet,learn data analytics
A1074,Data Analytics Course,150,"4,621",246,15,6,0.049,"1,554",11/9/2024,Hydrabad,desktop,data analitics online
A1075,Data Analytics Course,97,"3,212",213,27,10,0.103,"1,994",23/11/2024,Hydrabad,desktop,analytics for data
A1076,Data Analytics Course,128,"4,225",228,30,4,0.031,"1,618",11/8/2024,Hydrabad,mobile,learn data analytics
A1077,Data Analytics Course,99,"4,779",234,26,10,0.101,"1,086",11/5/2024,Hydrabad,desktop,online data analytic
A1078,Data Analytics Course,86,"5,352",234,11,5,0.058,"1,364",11/9/2024,Hydrabad,tablet,online data analytic
A1079,Data Analytics Course,118,"5,405",187,25,7,0.058,"1,836",11/5/2024,Hydrabad,tablet,analytics for data
A1080,Data Analytics Course,127,"5,430",199,14,6,0.047,"1,932",11/25/2024,Hydrabad,mobile,analytics for data
A1081,Data Analytics Course,83,"4,808",241,20,7,0.084,"1,038",30/11/2024,Hydrabad,mobile,learn data analytics
A1082,Data Analytics Course,149,3587,$217.53,23,8,,,17/11/2024,,Mobile,data analitics online
A1083,Data Analytics Course,168,"4,683",215,30,8,0.048,"1,327",11/28/2024,Hydrabad,mobile,data analitics online
A1084,Data Analytics Course,112,"5,814",227,11,8,0.071,"1,467",11/3/2024,Hydrabad,tablet,analytics for data
A1085,Data Analytics Course,123,"3,292",233,28,6,0.049,"1,174",11/19/2024,Hydrabad,desktop,data anaytics training
A1086,Data Analytics Course,174,"4,305",206,20,3,0.034,"1,057",11/23/2024,Hydrabad,desktop,learn data analytics
A1087,Data Analytics Course,143,4368,,27,7,0.049,"$1,199",3/11/2024,,tablet,analytics for data
A1088,Data Analytics Course,195,"5,935",210,23,9,0.046,"1,966",11/7/2024,Hydrabad,tablet,online data analytic
A1089,Data Analytics Course,176,"5,847",241,13,6,0.034,"1,194",11/2/2024,Hydrabad,desktop,online data analytic
A1090,Data Analytics Course,141,4851,$227.39,28,5,,"$1,821",11/15/2024,,desktop,analytics for data
A1091,Data Analytics Course,108,"4,710",204,19,10,0.093,"1,731",11/20/2024,Hydrabad,tablet,data analitics online
A1092,Data Analytics Course,112,3345,,11,6,0.047,"$1,859",11/23/2024,,TABLET,analytics for data
A1093,Data Analytics Course,,5903,$184.41,23,9,,"$1,188",20/11/2024,,tablet,online data analytic
A1094,Data Analytics Course,145,"5,004",216,22,5,0.034,"1,496",11/1/2024,Hydrabad,tablet,data analitics online
A1095,Data Analytics Course,183,"3,947",197,15,8,0.044,"1,645",11/14/2024,Hydrabad,desktop,data anaytics training
A1096,Data Analytics Course,113,"3,690",229,20,5,0.044,"1,915",11/28/2024,Hydrabad,tablet,learn data analytics
A1097,Data Analytics Course,101,"5,943",187,27,6,0.059,"1,614",11/15/2024,Hydrabad,tablet,data analitics online
A1098,Data Analytics Course,189,"5,357",223,24,3,0.05,"1,839",11/25/2024,Hydrabad,tablet,data analytics course
A1099,Data Analytics Course,154,"3,596",236,30,9,0.058,"1,036",11/6/2024,Hydrabad,tablet,online data analytic
A1100,Data Analytics Course,179,"5,162",247,16,5,0.05,"1,052",11/29/2024,Hydrabad,desktop,online data analytic
A1101,Data Analytics Course,148,"3,747",244,18,8,0.054,"1,092",11/17/2024,Hydrabad,tablet,learn data analytics
A1102,Data Analytics Course,177,"4,822",197,26,9,0.051,"1,909",11/4/2024,Hydrabad,mobile,online data analytic
A1103,Data Analytics Course,119,5800,$221.36,11,8,,,29/11/2024,,Desktop,analytics for data
A1104,Data Analytics Course,89,3594,,14,6,0.067,"$1,026",11/15/2024,,tablet,data analytics course
A1105,Data Analytics Course,146,"4,765",230,23,5,0.034,"1,944",11/28/2024,Hydrabad,tablet,analytics for data
A1106,Data Analytics Course,109,4128,$183.65,12,5,,,11/30/2024,,Desktop,data analitics online
A1107,Data Analytics Course,159,"5,127",197,21,4,0.025,"1,867",11/3/2024,Hydrabad,tablet,learn data analytics
A1108,Data Analytics Course,144,"5,674",235,12,3,0.021,"1,505",11/22/2024,Hydrabad,desktop,analytics for data
A1109,Data Analytics Course,122,"3,793",237,19,8,0.066,"1,842",11/20/2024,Hydrabad,tablet,online data analytic
A1110,Data Analytics Course,112,"4,315",235,28,9,0.08,"1,116",11/8/2024,Hydrabad,mobile,data analytics course
A1111,Data Analytics Course,174,"4,704",192,21,10,0.049,"1,501",11/24/2024,Hydrabad,mobile,learn data analytics
A1112,Data Analytics Course,168,"3,349",236,23,9,0.054,"1,894",11/9/2024,Hydrabad,mobile,online data analytic
A1113,Data Analytics Course,173,"3,501",224,28,10,0.044,"1,179",11/25/2024,Hydrabad,mobile,data analytics course
A1114,Data Analytics Course,91,,$203.52,,9,0.099,"$1,838",20/11/2024,,DESKTOP,data analytics course
A1115,Data Analytics Course,140,5405,$195.69,21,8,,"$1,094",21/11/2024,,Desktop,data anaytics training
A1116,Data Analytics Course,93,"3,425",230,26,4,0.043,"1,344",24/11/2024,Hydrabad,mobile,online data analytic
A1117,Data Analytics Course,114,"5,263",189,23,5,0.044,"1,434",5/11/2024,Hydrabad,mobile,data analytics course
A1118,Data Analytics Course,172,3889,,21,10,,"$1,766",11/16/2024,,TABLET,online data analytic
A1119,Data Analytics Course,188,"3,327",194,24,6,0.047,"1,220",3/11/2024,Hydrabad,tablet,online data analytic
A1120,Data Analytics Course,117,,$214.18,29,4,0.034,"$1,348",11/23/2024,,MOBILE,learn data analytics
A1121,Data Analytics Course,113,"5,471",216,27,9,0.038,"1,123",11/23/2024,Hydrabad,mobile,analytics for data
A1122,Data Analytics Course,109,"3,550",240,14,8,0.073,"1,982",11/24/2024,Hydrabad,tablet,learn data analytics
A1123,Data Analytics Course,174,"3,178",226,18,10,0.057,"1,140",20/11/2024,Hydrabad,desktop,data analitics online
A1124,Data Analytics Course,96,"4,673",193,24,5,0.052,"1,962",11/10/2024,Hydrabad,mobile,learn data analytics
A1125,Data Analytics Course,110,4254,$187.87,11,4,,"$1,172",11/4/2024,,MOBILE,data anaytics training
A1126,Data Analytics Course,163,"3,658",238,23,7,0.043,"1,699",11/23/2024,Hydrabad,tablet,online data analytic
A1127,Data Analytics Course,161,"5,319",236,13,4,0.025,"1,423",11/18/2024,Hydrabad,mobile,learn data analytics
A1128,Data Analytics Course,195,"5,278",193,30,7,0.047,"1,456",11/4/2024,Hydrabad,mobile,data analytics course
A1129,Data Analytics Course,84,"3,755",219,14,9,0.047,"1,299",11/5/2024,Hydrabad,tablet,analytics for data
A1130,Data Analytics Course,113,"4,580",195,11,6,0.059,"1,248",11/28/2024,Hydrabad,tablet,data analytics course
A1131,Data Analytics Course,117,"3,809",225,12,5,0.032,"1,495",11/9/2024,Hydrabad,desktop,data anaytics training
A1132,Data Analytics Course,135,"5,118",220,27,6,0.044,"1,089",11/20/2024,Hydrabad,mobile,online data analytic
A1133,Data Analytics Course,92,"5,766",186,28,7,0.076,"1,013",27/11/2024,Hydrabad,tablet,data anaytics training
A1134,Data Analytics Course,188,3934,$206.21,16,9,0.048,,4/11/2024,,Desktop,data analytics course
A1135,Data Analytics Course,101,"4,724",228,13,7,0.034,"1,243",11/20/2024,Hydrabad,desktop,learn data analytics
A1136,Data Analytics Course,111,"5,895",205,29,4,0.036,"1,693",11/4/2024,Hydrabad,mobile,data analytics course
A1137,Data Analytics Course,122,4048,$202.23,28,10,0.082,,26/11/2024,,mobile,online data analytic
A1138,Data Analytics Course,99,3169,$237.68,21,6,,"$1,509",11/22/2024,,Mobile,online data analytic
A1139,Data Analytics Course,154,"4,535",229,11,3,0.019,"1,434",11/1/2024,Hydrabad,tablet,data anaytics training
A1140,Data Analytics Course,129,"3,849",249,22,10,0.078,"1,767",11/11/2024,Hydrabad,desktop,analytics for data
A1141,Data Analytics Course,,"4,259",183,10,10,0.031,"1,048",16/11/2024,Hydrabad,mobile,analytics for data
A1142,Data Analytics Course,143,3628,,18,9,0.063,"$1,566",17/11/2024,,tablet,data analytics course
A1143,Data Analytics Course,80,3269,,12,4,0.05,"$1,753",23/11/2024,,Desktop,data analitics online
A1144,Data Analytics Course,134,"3,724",188,26,9,0.047,"1,891",11/7/2024,Hydrabad,desktop,online data analytic
A1145,Data Analytics Course,174,"4,838",242,21,3,0.017,"1,599",11/22/2024,Hydrabad,desktop,data analitics online
A1146,Data Analytics Course,196,"4,524",192,15,8,0.041,"1,048",11/13/2024,Hydrabad,desktop,data analytics course
A1147,Data Analytics Course,194,"4,694",228,17,7,0.036,"1,874",11/14/2024,Hydrabad,tablet,learn data analytics
A1148,Data Analytics Course,180,4326,$221.67,13,,,"$1,427",6/11/2024,,TABLET,online data analytic
A1149,Data Analytics Course,100,"4,235",223,10,8,0.051,"1,814",1/11/2024,Hydrabad,desktop,data anaytics training
A1150,Data Analytics Course,153,"4,367",185,29,9,0.059,"1,507",11/13/2024,Hydrabad,mobile,analytics for data
A1151,Data Analytics Course,110,"3,748",199,24,9,0.082,"1,041",5/11/2024,Hydrabad,tablet,data anaytics training
A1152,Data Analytics Course,116,3901,,21,4,0.034,"$1,483",11/13/2024,,Tablet,online data analytic
A1153,Data Analytics Course,156,"3,335",237,29,7,0.045,"1,143",11/14/2024,Hydrabad,desktop,data analytics course
A1154,Data Analytics Course,177,"5,671",211,19,6,0.058,"1,172",25/11/2024,Hydrabad,tablet,data analytics course
A1155,Data Analytics Course,89,"3,408",215,25,9,0.101,"1,898",11/15/2024,Hydrabad,mobile,data analytics course
A1156,Data Analytics Course,155,"4,422",184,14,8,0.037,"1,143",11/15/2024,Hydrabad,mobile,analytics for data
A1157,Data Analytics Course,123,"3,097",191,20,8,0.065,"1,640",11/22/2024,Hydrabad,tablet,data analytics course
A1158,Data Analytics Course,102,"3,621",245,10,5,0.049,"1,375",11/12/2024,Hydrabad,mobile,learn data analytics
A1159,Data Analytics Course,150,4806,$244.53,15,9,,"$1,602",7/11/2024,,Mobile,data analitics online
A1160,Data Analytics Course,160,,$245.87,11,6,0.037,,11/5/2024,,DESKTOP,analytics for data
A1161,Data Analytics Course,143,"3,901",191,29,4,0.053,"1,786",11/24/2024,Hydrabad,mobile,learn data analytics
A1162,Data Analytics Course,178,"4,673",222,29,6,0.051,"1,219",11/4/2024,Hydrabad,tablet,online data analytic
A1163,Data Analytics Course,152,3542,$208.96,13,9,,"$1,735",11/13/2024,,desktop,data analytics course
A1164,Data Analytics Course,139,4347,$238.19,26,5,,"$1,384",13/11/2024,,tablet,analytics for data
A1165,Data Analytics Course,175,"5,014",247,25,7,0.04,"1,499",15/11/2024,Hydrabad,mobile,learn data analytics
A1166,Data Analytics Course,92,"4,185",218,21,9,0.035,"1,567",11/3/2024,Hydrabad,mobile,data analitics online
A1167,Data Analytics Course,123,5964,,17,6,,"$1,363",11/3/2024,,desktop,data anaytics training
A1168,Data Analytics Course,86,"5,124",184,13,10,0.116,"1,137",20/11/2024,Hydrabad,mobile,data anaytics training
A1169,Data Analytics Course,117,"4,162",238,28,10,0.085,"1,186",11/22/2024,Hydrabad,mobile,online data analytic
A1170,Data Analytics Course,146,"4,330",192,20,3,0.021,"1,748",11/9/2024,Hydrabad,mobile,online data analytic
A1171,Data Analytics Course,89,3268,,17,4,0.045,"$1,233",11/13/2024,,DESKTOP,online data analytic
A1172,Data Analytics Course,195,"3,483",214,27,7,0.036,"1,796",23/11/2024,Hydrabad,desktop,learn data analytics
A1173,Data Analytics Course,170,"4,519",241,22,7,0.041,"1,012",27/11/2024,Hydrabad,mobile,analytics for data
A1174,Data Analytics Course,97,"3,605",240,21,7,0.045,"1,682",11/10/2024,Hydrabad,desktop,data analitics online
A1175,Data Analytics Course,159,"5,076",205,15,10,0.063,"1,638",17/11/2024,Hydrabad,tablet,data analytics course
A1176,Data Analytics Course,131,5352,$225.86,24,10,,"$1,961",11/20/2024,,mobile,online data analytic
A1177,Data Analytics Course,108,"5,503",185,11,7,0.065,"1,921",6/11/2024,Hydrabad,mobile,data analitics online
A1178,Data Analytics Course,93,"4,308",210,19,9,0.097,"1,694",11/20/2024,Hydrabad,mobile,data analytics course
A1179,Data Analytics Course,137,3555,$213.50,29,3,,,11/6/2024,,DESKTOP,data analytics course
A1180,Data Analytics Course,81,"5,615",193,30,6,0.074,"1,255",11/28/2024,Hydrabad,mobile,analytics for data
A1181,Data Analytics Course,160,"4,743",206,23,10,0.062,"1,825",11/20/2024,Hydrabad,mobile,learn data analytics
A1182,Data Analytics Course,186,"3,337",184,16,8,0.043,"1,045",11/30/2024,Hydrabad,desktop,online data analytic
A1183,Data Analytics Course,105,"3,234",239,27,10,0.095,"1,248",11/6/2024,Hydrabad,desktop,online data analytic
A1184,Data Analytics Course,131,3913,$203.69,14,10,,"$1,079",11/25/2024,,DESKTOP,data anaytics training
A1185,Data Analytics Course,129,"3,208",204,18,8,0.032,"1,456",11/29/2024,Hydrabad,desktop,learn data analytics
A1186,Data Analytics Course,187,"5,972",221,30,7,0.037,"1,980",11/14/2024,Hydrabad,desktop,data analytics course
A1187,Data Analytics Course,167,"3,662",235,10,7,0.042,"1,684",11/25/2024,Hydrabad,mobile,data anaytics training
A1188,Data Analytics Course,140,"3,359",182,29,7,0.045,"1,973",11/28/2024,Hydrabad,desktop,data analitics online
A1189,Data Analytics Course,198,3700,$220.67,14,5,,"$1,531",11/10/2024,,MOBILE,analytics for data
A1190,Data Analytics Course,196,"3,835",218,10,9,0.041,"1,871",4/11/2024,Hydrabad,tablet,online data analytic
A1191,Data Analytics Course,140,5638,$208.02,22,5,,"$1,652",11/18/2024,,desktop,data anaytics training
A1192,Data Analytics Course,157,"5,825",231,16,3,0.019,"1,041",11/16/2024,Hydrabad,desktop,data anaytics training
A1193,Data Analytics Course,91,"5,428",248,11,3,0.033,"1,835",22/11/2024,Hydrabad,tablet,learn data analytics
A1194,Data Analytics Course,140,"3,571",238,21,9,0.064,"1,762",11/16/2024,Hydrabad,desktop,learn data analytics
A1195,Data Analytics Course,154,"3,638",182,11,8,0.056,"1,413",11/4/2024,Hydrabad,mobile,online data analytic
A1196,Data Analytics Course,133,"4,505",201,23,3,0.039,"1,562",26/11/2024,Hydrabad,tablet,analytics for data
A1197,Data Analytics Course,,5016,$238.59,26,9,,"$1,620",11/20/2024,,Mobile,data analitics online
A1198,Data Analytics Course,141,"3,071",208,10,6,0.043,"1,647",18/11/2024,Hydrabad,tablet,data analitics online
A1199,Data Analytics Course,135,5682,,30,3,,"$1,445",11/15/2024,,tablet,data anaytics training
A1200,Data Analytics Course,199,"5,067",247,24,8,0.059,"1,365",11/19/2024,Hydrabad,mobile,analytics for data
A1201,Data Analytics Course,138,"3,971",185,28,3,0.022,"1,718",11/7/2024,Hydrabad,tablet,learn data analytics
A1202,Data Analytics Course,175,"4,481",236,21,10,0.057,"1,257",20/11/2024,Hydrabad,desktop,data analytics course
A1203,Data Analytics Course,170,"5,476",186,25,4,0.024,"1,731",8/11/2024,Hydrabad,mobile,analytics for data
A1204,Data Analytics Course,138,"4,426",204,24,10,0.072,"1,838",11/5/2024,Hydrabad,mobile,data analytics course
A1205,Data Analytics Course,108,"4,080",248,18,4,0.037,"1,363",11/30/2024,Hydrabad,tablet,online data analytic
A1206,Data Analytics Course,150,"4,113",220,12,7,0.047,"1,196",11/22/2024,Hydrabad,mobile,learn data analytics
A1207,Data Analytics Course,90,"5,119",227,14,10,0.111,"1,348",11/7/2024,Hydrabad,desktop,analytics for data
A1208,Data Analytics Course,98,3422,$223.55,17,7,,"$1,414",11/19/2024,,TABLET,online data analytic
A1209,Data Analytics Course,130,"3,327",225,13,3,0.023,"1,668",16/11/2024,Hydrabad,mobile,online data analytic
A1210,Data Analytics Course,199,,$199.98,15,8,0.04,"$1,467",11/8/2024,,tablet,data anaytics training
A1211,Data Analytics Course,101,3241,$183.34,24,,,"$1,483",10/11/2024,,TABLET,data anaytics training
A1212,Data Analytics Course,118,3970,,27,9,0.076,"$1,036",11/19/2024,,desktop,data analytics course
A1213,Data Analytics Course,199,5734,$247.99,18,,,"$1,455",11/11/2024,,DESKTOP,data analitics online
A1214,Data Analytics Course,183,"4,001",238,23,4,0.022,"1,430",11/21/2024,Hydrabad,mobile,online data analytic
A1215,Data Analytics Course,126,"4,206",234,29,10,0.041,"1,998",11/6/2024,Hydrabad,tablet,online data analytic
A1216,Data Analytics Course,199,4745,,13,9,,"$1,800",11/28/2024,,tablet,analytics for data
A1217,Data Analytics Course,92,"4,042",201,15,7,0.076,"1,234",11/24/2024,Hydrabad,tablet,learn data analytics
A1218,Data Analytics Course,,4883,$249.61,10,3,,"$1,464",11/12/2024,,Tablet,online data analytic
A1219,Data Analytics Course,92,"3,748",208,14,8,0.087,"1,297",11/2/2024,Hydrabad,desktop,analytics for data
A1220,Data Analytics Course,135,"3,480",225,11,4,0.03,"1,398",11/23/2024,Hydrabad,tablet,data analitics online
A1221,Data Analytics Course,177,"3,007",223,30,8,0.045,"1,766",11/2/2024,Hydrabad,mobile,data analitics online
A1222,Data Analytics Course,117,"3,380",187,21,10,0.055,"1,958",11/19/2024,Hydrabad,desktop,data anaytics training
A1223,Data Analytics Course,127,"4,823",195,11,10,0.057,"1,496",15/11/2024,Hydrabad,desktop,data analytics course
A1224,Data Analytics Course,132,"4,490",202,10,7,0.053,"1,441",11/10/2024,Hydrabad,mobile,data analitics online
A1225,Data Analytics Course,102,"5,149",229,27,9,0.088,"1,137",26/11/2024,Hydrabad,desktop,learn data analytics
A1226,Data Analytics Course,91,4290,$213.74,,10,,"$1,797",11/16/2024,,Mobile,online data analytic
A1227,Data Analytics Course,163,5643,$217.40,30,6,,"$1,678",11/1/2024,,DESKTOP,data analitics online
A1228,Data Analytics Course,92,3916,$188.10,,6,0.065,"$1,005",11/14/2024,,DESKTOP,online data analytic
A1229,Data Analytics Course,165,4551,$185.35,30,,,"$1,662",11/6/2024,,desktop,data analitics online
A1230,Data Analytics Course,127,3344,$201.70,10,8,,"$1,190",11/11/2024,,DESKTOP,analytics for data
A1231,Data Analytics Course,178,"4,441",232,22,4,0.022,"1,886",11/24/2024,Hydrabad,mobile,analytics for data
A1232,Data Analytics Course,101,,$234.17,29,5,0.05,"$1,568",11/27/2024,,mobile,data anaytics training
A1233,Data Analytics Course,161,5977,$193.27,24,,,"$1,366",13/11/2024,,Desktop,online data analytic
A1234,Data Analytics Course,95,"4,562",188,24,9,0.095,"1,239",11/26/2024,Hydrabad,desktop,data anaytics training
A1235,Data Analytics Course,85,5099,$232.56,28,9,,"$1,526",2/11/2024,,mobile,data anaytics training
A1236,Data Analytics Course,192,"5,852",181,16,8,0.042,"1,600",11/21/2024,Hydrabad,desktop,analytics for data
A1237,Data Analytics Course,80,3823,$181.57,13,4,,"$1,564",11/13/2024,,Desktop,online data analytic
A1238,Data Analytics Course,191,"4,612",238,20,10,0.052,"1,531",1/11/2024,Hydrabad,mobile,learn data analytics
A1239,Data Analytics Course,147,"5,881",196,23,7,0.048,"1,614",11/18/2024,Hydrabad,desktop,data anaytics training
A1240,Data Analytics Course,100,"5,204",198,26,4,0.04,"1,675",24/11/2024,Hydrabad,tablet,data analytics course
A1241,Data Analytics Course,82,5130,$233.75,,9,0.11,,15/11/2024,,Mobile,data analitics online
